aronyms	meaning
w/e	whatever
w/	with
n	and
usagov	usa government
recentlu	recently
ph0tos	photos
exp0sed	exposed
<3	love
amirite	am i right
amageddon	armageddon
trfc	traffic
windstorm	wind storm
yr	year
lmao	laughing my ass off
traumatised	traumatized
hwy	highway
i'm	i am
mt	Modified tweet
rt	retweet
dm	direct message
prt	partial retweet
ht	hat tip
cc	carbon-copy
imho	in my humble opinion
oh	overheard
rlrt	real life retweet
nbd	no big deal
smh	shaking my head
idk	i do not know
irl	in real life
nsfw	not safe for work
sfw	safe for work
fwiw	for what it is worth
qotd	quote of the day
hotd	headline of the day
ftw	for the win
btw	by the way
bfn	bye for now
g9	good night
u	you
r	are
afaik	as far as i know
ty	thank you
lol	laugh out loud
yw	you are welcome
fb	facebook
li	linkedin
gg	good game
cuz	because
w/o	without
nv	nevermind
pls	please
plz	please
icymi	in case you missed it
iirc	if i remember correctly
iow	in other words
ic	i see
ur	you are
lgtm	look good to me
aka	also know as
faq	frequently asked questions
diy	do it yourself
atw	all the way
bae	baby
bb	be back
cya	see you later
e2e	end to end
u'r	you are
mh370	malaysia airlines 370
hah	haha
fuvk	fuck
nyc	new york city
st	street
fc	football club
mu	manchester united
mc	manchester city
cfc	chealsea football club
dr	doctor
dr.	doctor
prof	professor
intl	international
la	los angeles
ig	instagram
wmv	windows media video
dvd	digital video disk
2k13	2013
fyi	for your information
nhs	national health service
ps4	playstation 4
ps	playstation
xb1	xbox 1
gov	goverment
gj	good job
gf	girl friend
bf	boy friend
bff	best friend forever
yrs	years
ww1	world war 1
ww2	world war 2
wwz	world war z
pd	police department
mrc	mississippi river commission
us	united state
uk	united kingdom
eu	europe
na	north america
sa	south america
cdc	centers for disease control and prevention
asf	as fuck
wtf	what the fuck
wth	what the hell
cgi	computer generated imagery
hrs	hours
sos	save our souls
4u	for you
U.S.	united state
ok	okay
oke	okay
